"","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20"
"Subject267",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject268",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"Subject269",1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0
"Subject270",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Subject271",0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject272",1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1
"Subject273",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Subject274",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Subject275",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject276",1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0
"Subject277",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"Subject278",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject279",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject280",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject281",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject282",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject283",0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"Subject284",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject285",0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1
"Subject286",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject287",0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
"Subject288",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject289",1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
"Subject290",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject292",1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Subject293",0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0
"Subject294",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject295",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject296",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject297",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Subject298",0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1
"Subject299",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject300",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
"Subject301",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject302",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"Subject303",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
"Subject304",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject305",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"Subject306",1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1
"Subject307",1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Subject308",1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
"Subject309",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject310",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0
"Subject311",1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject312",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject313",1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0
"Subject314",0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject315",1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
"Subject316",1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"Subject317",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0
"Subject318",1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0
"Subject319",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"Subject320",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject321",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Subject322",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
"Subject323",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject324",1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1
"Subject325",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject326",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
"Subject327",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject328",1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"Subject329",1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"Subject330",1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"Subject331",0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
"Subject332",1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0
"Subject333",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject334",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject335",1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1
"Subject336",1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0
"Subject337",0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"Subject338",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"Subject339",1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0
"Subject340",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject341",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject342",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject343",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject344",1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"Subject345",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject346",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Subject347",0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Subject348",1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0
"Subject349",1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject350",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
"Subject351",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject352",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject353",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject354",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject355",1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject356",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
"Subject357",1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0
"Subject358",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject359",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
"Subject360",1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
"Subject361",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"Subject362",1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0
"Subject363",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"Subject364",0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"Subject365",1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Subject366",1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0
"Subject367",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject368",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"Subject369",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Subject370",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject371",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"Subject372",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject373",0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
"Subject374",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
"Subject375",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject376",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
"Subject377",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject378",1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0
"Subject379",1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0
"Subject380",1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject381",1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"Subject382",0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject383",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Subject384",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
"Subject385",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
"Subject386",1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
"Subject387",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject388",1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject389",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject390",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
"Subject391",0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject392",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"Subject393",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"Subject394",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject395",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject396",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject397",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject398",1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject399",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject400",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject401",1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
"Subject402",1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1
"Subject403",1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
"Subject404",0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject405",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
"Subject406",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject407",0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject408",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject409",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0
"Subject410",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"Subject411",1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject412",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject413",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject414",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"Subject415",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject416",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0
"Subject417",0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
"Subject418",0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"Subject419",1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject420",0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0
"Subject421",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject422",1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
"Subject423",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject424",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject425",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject426",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject427",0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"Subject428",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1
"Subject429",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject430",0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject431",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subject432",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject433",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject434",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject435",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject436",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject437",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject438",1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject439",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"Subject440",1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject441",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Subject442",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject443",1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
"Subject444",1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
"Subject445",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Subject446",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject447",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
"Subject448",1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0
"Subject449",1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
"Subject450",0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
"Subject451",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"Subject452",0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject453",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Subject454",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject455",0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0
"Subject456",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"Subject457",0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
"Subject458",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Subject459",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
"Subject460",1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
"Subject461",1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
"Subject462",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Subject463",1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"Subject464",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
"Subject465",1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0
"Subject466",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject467",0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject468",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Subject469",1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
"Subject470",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1
"Subject471",1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0
"Subject472",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"Subject473",1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"Subject474",1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
"Subject475",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject476",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"Subject477",1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0
"Subject478",1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
"Subject479",0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject480",1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
"Subject481",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"Subject482",0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
"Subject483",1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject484",1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject485",1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject486",0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
"Subject487",1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1
"Subject488",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject489",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
"Subject490",0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"Subject491",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject492",1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
"Subject493",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject494",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"Subject495",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject496",1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0
"Subject497",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Subject498",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject499",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject500",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
"Subject501",1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject502",0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"Subject503",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject504",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"Subject505",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Subject506",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject507",0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject508",0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject509",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject510",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Subject511",0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject512",0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
"Subject513",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
"Subject514",0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
"Subject515",0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject516",0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0
"Subject517",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject518",1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
"Subject519",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject520",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
"Subject521",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Subject522",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Subject524",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Subject525",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Subject526",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject527",1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject528",1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0
"Subject529",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Subject530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Subject531",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Subject532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject533",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0
"Subject534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subject535",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"Subject536",1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
